"EMPLOYER_STATE_PROVINCE","EMPLOYER_CITY","EMPLOYER_POSTAL_CODE","count"
"TEXAS","IRVING","75039",36
"INDIANA","JASPER","47546",35
"MICHIGAN","DETROIT","48226",35
"MINNESOTA","MORRIS","56267",35
"WASHINGTON","BELLEVUE","98004",35
"ARIZONA","CHANDLER","85224",34
"MASSACHUSETTS","BURLINGTON","01803",34
"NORTH CAROLINA","HOLLY SPRINGS","27540",34
"CALIFORNIA","SAN JOSE","95124",33
"GEORGIA","ATLANTA","30308",33
"GEORGIA","ATLANTA","30338",33
"ILLINOIS","SCHAUMBURG","60173",33
"NEW JERSEY","PARSIPPANY","07054",33
"SOUTH CAROLINA","NORTH CHARLESTON","29406",33
"TEXAS","THE WOODLANDS","77375",33
"CALIFORNIA","SAN MATEO","94404",32
"NORTH CAROLINA","CHARLOTTE","28277",32
"INDIANA","WEST LAFAYETTE","47907",31
"MINNESOTA","MINNEAPOLIS","55403",31
"NEBRASKA","GRAND  ISLAND","68802",31
"NORTHERN MARIANA ISLANDS","SAIPAN","96950",31
"CALIFORNIA","LOS ANGELES","90031",30
"NEW JERSEY","SHORT HILLS","07078",30
"PENNSYLVANIA","MOON TOWNSHIP","15108",30
"ALABAMA","GADSDEN","35903",29
"ALABAMA","NORTHPORT","35473",29
"CALIFORNIA","MOUNTAIN VIEW","94041",29
"CALIFORNIA","SAN MATEO","94403",29
"CALIFORNIA","SANTA MONICA","90404",29
"CALIFORNIA","SOUTH SAN FRANCISCO","94080",29
"CONNECTICUT","STAMFORD","06901",29
"MINNESOTA","MINNEAPOLIS","55402",29
"NEW JERSEY","HOBOKEN","07030",29
"NEW YORK","NEW YORK","10011",29
"PENNSYLVANIA","KING OF PRUSSIA","19406",29
"TEXAS","DALLAS","75254",29
"CALIFORNIA","SAN MATEO","94402",28
"FLORIDA","MIAMI","33166",28
"GEORGIA","ALPHARETTA","30022",28
"ILLINOIS ILLINOIS","SPRINGFIELD","62704",28
"MISSOURI","ST. LOUIS","63121",28
"NEW YORK","PURCHASE","10577",28
"TEXAS","FORT WORTH","76155",28
"TEXAS","HOUSTON","77041",28
"VIRGINIA","CHANTILLY","20151",28
"CALIFORNIA","SANTA MONICA","90405",27
"ILLINOIS","RIVERWOODS","60015",27
"MASSACHUSETTS","SHREWSBURY","01545",27
"NEW JERSEY","ROSELAND","07068",27
"NORTH CAROLINA","MORRISVILLE","27560",27
"TEXAS","DALLAS","75243",27
"TEXAS","FRISCO","75034",27
"TEXAS","HOUSTON","77042",27
"TEXAS","MANCHACA","78652",27
"WASHINGTON","SEATAC","98188",27
"CONNECTICUT","EAST HARTFORD","06108",26
"MISSOURI N/A","BRIDGETON","63044",26
"NEW YORK","NEW YORK","10041",26
"OHIO","CINCINNATI","45206",26
"PENNSYLVANIA","UNIVERSITY PARK","16802",26
"SOUTH DAKOTA","HURON","57350",26
"TEXAS","AUSTIN","78754",26
"TEXAS","DALLAS","75234",26
"TEXAS","HOUSTON","77070",26
"TEXAS","RICHARDSON","75080",26
"WISCONSIN","VERONA","53593",26
"CALIFORNIA","SAN RAMON","94583",25
"CALIFORNIA","TORRANCE","90502",25
"GEORGIA","NORCROSS","30093",25
"KENTUCKY","LOUISVILLE","40220",25
"MARYLAND","ROCKVILLE","20850",25
"MICHIGAN","SOUTHFIELD","48033",25
"NEW JERSEY","MURRAY HILL","07974",25
"TEXAS","AUSTIN","78701",25
"VIRGINIA","VIENNA","22182",25
"CALIFORNIA","SAN MARCOS","92078",24
"COLORADO","ENGLEWOOD","80112",24
"DISTRICT OF COLUMBIA","WASHINGTON","20005",24
"KANSAS","OLATHE","66062",24
"MASSACHUSETTS","BOSTON","02110",24
"NEW YORK","NEW YORK","10105",24
"TEXAS","ANAHUAC","77514",24
"TEXAS","HOUSTON","77036",24
"TEXAS","SUMNER","75486",24
"VIRGINIA","TYSONS CORNER","22182",24
"CALIFORNIA","LOS ANGELES","90010",23
"CALIFORNIA","LOS ANGELES","90021",23
"COLORADO","DENVER","80216",23
"DISTRICT OF COLUMBIA","WASHINGTON","20551",23
"GEORGIA","DULUTH","30096",23
"PENNSYLVANIA","MALVERN","19355",23
"TEXAS","SOUTHLAKE","76092",23
"VIRGINIA","ASHBURN","20147",23
"CALIFORNIA","CAMPBELL","95008",22
"CALIFORNIA","IRVINE","92614",22
"CALIFORNIA","NEWARK","94560",22
"CALIFORNIA","PALO ALTO","94306",22
"GEORGIA","ATLANTA","30303",22
"GEORGIA","DULUTH","30097",22
"ILLINOIS","CHICAGO","60661",22
"MICHIGAN","PLYMOUTH","48170",22
"PENNSYLVANIA","PITTSBURGH","15219",22
"TENNESSEE","NASHVILLE","37211",22
"CALIFORNIA","ALISO VIEJO","92656",21
"CALIFORNIA","SAN JOSE","95113",21
"CALIFORNIA","WOODLAND HILLS","91367",21
"ILLINOIS","CHICAGO","60611",21
"KANSAS","OVERLAND PARK","66251",21
"MASSACHUSETTS","BOSTON","02111",21
"NEW YORK","NEW YORK","10014",21
"PENNSYLVANIA","PITTSBURGH","15222",21
"SOUTH CAROLINA","HILTON HEAD ISLAND","29926",21
"TEXAS","ADDISON","75001",21
"VIRGINIA","FAIRFAX","22031",21
"VIRGINIA","STERLING","20166",21
"ARIZONA","SCOTTSDALE","85260",20
"CALIFORNIA","IRVINE","92612",20
"CALIFORNIA","LOS ANGELES","90067",20
"CALIFORNIA","ORANGE","92868",20
"CONNECTICUT","GREENWICH","06830",20
"CONNECTICUT","HARTFORD","06156",20
"FLORIDA","JACKSONVILLE","32204",20
"MARYLAND","ROCKVILLE","20852",20
"MASSACHUSETTS","BOSTON","02109",20
"NEW JERSEY","EDISON","08820",20
"NEW YORK","FLUSHING","11354",20
"NEW YORK","LONG ISLAND CITY","11101",20
"RHODE ISLAND PROVIDENCE","WOONSOCKET","02895",20
"TEXAS","RICHARDSON","75082",20
"VIRGINIA","RESTON","20191",20
"ARIZONA","CHANDLER","85226",19
"CALIFORNIA","LOS ANGELES","90015",19
"FLORIDA","MIAMI","33178",19
"ILLINOIS","CASEYVILLE","62232",19
"MASSACHUSETTS","CAMBRIDGE","02139",19
"MICHIGAN","ANN ARBOR","48109",19
"MICHIGAN","FARMINGTON HILLS","48334",19
"NEW JERSEY","RED BANK","07701",19
"NEW JERSEY","UNION","07083",19
"NORTH CAROLINA","RALEIGH","27609",19
"TENNESSEE","UNION CITY","38261",19
"CALIFORNIA","GLENDALE","91205",18
"CALIFORNIA","PLEASANTON","94566",18
"CALIFORNIA","REDLANDS","92373",18
"CALIFORNIA","SAN FRANCISCO","94158",18
"COLORADO","GREENWOOD VILLAGE","80111",18
"DISTRICT OF COLUMBIA","WASHINGTON","20007",18
"FLORIDA","MIAMI","33186",18
"GEORGIA","PINE MOUNTAIN VALLEY","31823",18
"ILLINOIS","BENSENVILLE","60106",18
"ILLINOIS","CHICAGO","60604",18
"MARYLAND","COLUMBIA","21046",18
"MARYLAND","GERMANTOWN","20876",18
"MICHIGAN","FARMINGTON HILLS","48331",18
"MICHIGAN","TROY","48098",18
"NEW JERSEY","BRIDGEWATER","08807",18
"NEW JERSEY","MORRIS PLAINS","07950",18
"NEW JERSEY","NORTH BRUNSWICK","08902",18
"NORTH CAROLINA","TROUTMAN","28166",18
"OHIO","COLUMBUS","43215",18
"PENNSYLVANIA","EXTON","19341",18
"TEXAS","PLANO","75075",18
"TEXAS","RICHARDSON","75081",18
"VIRGINIA","MERRIFIELD","22116",18
"CALIFORNIA","CARLSBAD","92008",17
"CALIFORNIA","FOLSOM","95630",17
"CALIFORNIA","PALO ALTO","94301",17
"CALIFORNIA","SAN CARLOS","94070",17
"CALIFORNIA","SANTA FE SPRINGS","90670",17
"CALIFORNIA CALIFORNIA","SAN JOSE","95192",17
"CONNECTICUT","STAMFORD","06902",17
"DELAWARE","WILMINGTON","19808",17
"FLORIDA","DORAL","33172",17
"FLORIDA","FORT LAUDERDALE","33309",17
"GEORGIA","JOHNS CREEK","30097",17
"IOWA","IOWA CITY","52242",17
"MICHIGAN","LIVONIA","48150",17
"MISSOURI","ST. CHARLES","63301",17
"NEW JERSEY","PITTSTOWN","08867",17
"NEW YORK","ALBANY","12203",17
"OHIO","COLUMBUS","43230",17
"RHODE ISLAND","JOHNSTON","02919",17
"TENNESSEE","HERMITAGE","37076",17
"TEXAS","AUSTIN","78735",17
"TEXAS","COPPELL","75019",17
"TEXAS","HOUSTON","77056",17
"TEXAS","IRVING","75062",17
"TEXAS","SEMINOLE","79360",17
"VIRGINIA","MANASSAS","20109",17
"CALIFORNIA","SAN FRANCISCO","94102",16
"CALIFORNIA","SAN FRANCISCO","94108",16
"CALIFORNIA","WOODLAND HLS","91367",16
"COLORADO","DENVER","80237",16
"FLORIDA","ORLANDO","32809",16
"GEORGIA","NORCROSS","30092",16
"ILLINOIS","NAPERVILLE","60563",16
"INDIANA","BLOOMINGTON","47405",16
"MASSACHUSETTS","BOSTON","02108",16
"NORTH CAROLINA","CARY","27513",16
"TENNESSEE","BRENTWOOD","37027",16
"TEXAS","AUSTIN","78750",16
"TEXAS","DALLAS","75240",16
"TEXAS","HOUSTON","77002",16
"TEXAS","HOUSTON","77079",16
"VIRGINIA","TYSONS","22102",16
"CALIFORNIA","LAKE FOREST","92630",15
"CALIFORNIA","ONTARIO","91761",15
"CALIFORNIA","SAN JUAN CAPISTRANO","92675",15
"CALIFORNIA","TORRANCE","90501",15
"COLORADO","BROOMFIELD","80021",15
"DELAWARE","NEWARK","19713",15
"FLORIDA","BOCA RATON","33431",15
"FLORIDA","CORAL GABLES","33134",15
"FLORIDA","DORAL","33166",15
"FLORIDA","JACKSONVILLE","32256",15
"FLORIDA","ORLANDO","32817",15
"ILLINOIS","OAK BROOK","60523",15
"ILLINOIS","VERNON HILLS","60061",15
"IOWA","WEST DES MOINES","50266",15
"NEW YORK","BUFFALO","14203",15
"OKLAHOMA","TULSA","74131",15
"OREGON","HILLSBORO","97124",15
"SOUTH CAROLINA","GREENVILLE","29601",15
"TENNESSEE","NASHVILLE","37208",15
"TEXAS","EL PASO","79928",15
"TEXAS","KATY","77449",15
"VIRGINIA","BRISTOW","20136",15
"VIRGINIA","RESTON","20190",15
"CALIFORNIA","BUENA PARK","90621",14
"CALIFORNIA","GOLETA","93117",14
"CALIFORNIA","LOS ANGELES","90071",14
"CONNECTICUT","RIDGEFIELD","06877",14
"FLORIDA","BOCA RATON","33487",14
"GEORGIA","CUMMING","30041",14
"ILLINOIS","RIVER GROVE","60171",14
"MASSACHUSETTS","WALTHAM","02453",14
"MISSOURI","CHESTERFIELD","63017",14
"NEW JERSEY","TINTON FALLS","07724",14
"NEW YORK","BROOKLYN","11201",14
"NEW YORK","NEW YORK","10006",14
"TEXAS","HOUSTON","77024",14
"TEXAS","HOUSTON","77099",14
"WASHINGTON","SEATTLE","98134",14
"WISCONSIN","MILWAUKEE","53202",14
"ARIZONA","PHOENIX","85008",13
"CALIFORNIA","BREA","92821",13
"CALIFORNIA","LOS ANGELES","90017",13
"CALIFORNIA","LOS ANGELES","90064",13
"CALIFORNIA","NEWPORT BEACH","92660",13
"CALIFORNIA","PASADENA","91101",13
"CALIFORNIA","SANTA MONICA","90401",13
"CALIFORNIA","THOUSAND OAKS","91320",13
"CALIFORNIA","TORRANCE","90503",13
"FLORIDA","DORAL","33178",13
"FLORIDA","PLANTATION","33322",13
"GEORGIA","NORCROSS","30071",13
